           1    -25.2251    -25.2251           0     11.4781     11.4781           0     84.9686     84.9686           0
           2    -25.2229     -25.224      0.0011     11.4417     11.4599   0.0182306     82.9037     83.9362     1.03242
           3    -25.2244    -25.2241 0.000647594     11.4942     11.4713   0.0155358     84.4297     84.1007    0.618353
           4    -25.2589    -25.2328  0.00870539     11.3904     11.4511   0.0230239      84.381     84.1707    0.442822
           5    -25.2064    -25.2275  0.00856438     11.5184     11.4645   0.0223469     84.5774     84.2521    0.352521
           6    -25.2011    -25.2231  0.00826191     11.4797     11.4671   0.0184193     84.6932     84.3256    0.297072
           7    -25.2437    -25.2261  0.00757518     11.5224      11.475   0.0174602      85.027     84.4258    0.270331
           8    -25.2738     -25.232  0.00887201     11.5166     11.4802   0.0159896     85.5112     84.5615    0.270587
           9    -25.2399    -25.2329  0.00787284     11.4163     11.4731   0.0157871     84.1658     84.5175    0.242651
          10    -25.2314    -25.2327  0.00704337     11.5058     11.4763   0.0144958      85.668     84.6326    0.245643
          11    -25.2856    -25.2375  0.00797745     11.5569     11.4837   0.0150174     84.7402     84.6424    0.222408
          12     -25.241    -25.2378  0.00728793     11.4989     11.4849   0.0137677     84.6531     84.6433    0.203032
          13    -25.2138     -25.236  0.00695334     11.6455     11.4973   0.0176892     84.8764     84.6612    0.187621
          14    -25.2545    -25.2373  0.00657223     11.5239     11.4992   0.0164872     83.6015     84.5855    0.189478
          15     -25.236    -25.2372  0.00611908     11.5555     11.5029   0.0158008      84.991     84.6125    0.178453
          16    -25.2892    -25.2405   0.0065803     11.3189     11.4914   0.0187305     85.0911     84.6424    0.169586
          17    -25.2364    -25.2402  0.00618565     11.4772     11.4906   0.0176142     84.8585     84.6551    0.159805
          18    -25.2217    -25.2392  0.00592186      11.481     11.4901   0.0166155     85.0315     84.6761    0.152109
          19    -25.2432    -25.2394  0.00560539     11.5888     11.4953   0.0165533     84.5396     84.6689     0.14406
          20    -25.2402    -25.2395  0.00531789     11.4852     11.4948   0.0157119     84.4075     84.6558     0.13729
