           1     2.49412     2.49412           0
           2     2.49204     2.49308     0.00104
           3     2.51682     2.50099  0.00793608
           4     2.52358     2.50664  0.00796088
           5      2.7986     2.56503   0.0587167
           6     2.64886       2.579   0.0499363
           7     2.53994     2.57342   0.0425712
           8      2.5637     2.57221   0.0368878
           9     2.73862      2.5907   0.0374195
          10     2.45628     2.57726   0.0360674
          11     2.68612     2.58715   0.0340923
          12     2.57734     2.58634   0.0311326
          13      2.3704     2.56972   0.0331063
          14     2.34316     2.55354   0.0346605
          15     2.58164     2.55541   0.0323215
          16      2.5128     2.55275   0.0303511
          17      2.6588     2.55899   0.0291844
          18     2.65786     2.56448   0.0280582
          19     2.60334     2.56653   0.0266191
          20     2.47754     2.56208    0.025642
