           1     3.43898     3.43898           0
           2     3.63496     3.53697     0.09799
           3     3.51644     3.53013   0.0569869
           4     3.45054     3.51023   0.0449403
           5     3.05684     3.41955   0.0971302
           6     3.26256     3.39339   0.0835113
           7     3.62164     3.42599   0.0777482
           8     3.72472     3.46334    0.076993
           9     3.59908     3.47842   0.0695564
          10     3.49818     3.48039   0.0622445
          11     3.71406     3.50164   0.0601763
          12     3.60344     3.51012   0.0555844
          13     3.93788     3.54302   0.0608031
          14     3.65444     3.55098   0.0568525
          15     3.47876     3.54617   0.0531453
          16     3.69938     3.55574   0.0506267
          17     3.73028     3.56601   0.0486512
          18     3.54246      3.5647   0.0458874
          19     3.54542     3.56369    0.043417
          20     3.54532     3.56277   0.0411992
